"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"Tata Steel Limited","31.35","68.65","0","-","31-MAR-2016",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","25-APR-2016 17:15:01",,"::"
"Tata Steel Limited","31.35","68.65","0","-","31-DEC-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/-","04-FEB-2016 17:15:01",,"::"
"Tata Steel Limited","0","0","0",,"30-SEP-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2015",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2014",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2013",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2012",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2011",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2010",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2009",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2008",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2007",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-MAR-2006",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"31-DEC-2005",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-SEP-2005",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
"Tata Steel Limited","0","0","0",,"30-JUN-2005",,,"https://nsearchives.nseindia.com/corporate/xbrl/null",,,
